"","ASV_code","Sample","Count","Relative_Abundance"
"618","ASV103","SCF055-5",468,0.00111224923889355
"619","ASV104","SCF049-1",462,0.000490761051418374
"620","ASV104","SCF049-2",0,0
"621","ASV104","SCF049-3",0,0
"622","ASV104","SCF055-1",0,0
"623","ASV104","SCF055-4",0,0
"624","ASV104","SCF055-5",0,0
"625","ASV105","SCF049-1",455,0.000483325277912035
"626","ASV105","SCF049-2",0,0
"627","ASV105","SCF049-3",0,0
"628","ASV105","SCF055-1",0,0
"629","ASV105","SCF055-4",0,0
"630","ASV105","SCF055-5",0,0
"631","ASV106","SCF049-1",0,0
"632","ASV106","SCF049-2",0,0
"633","ASV106","SCF049-3",0,0
"634","ASV106","SCF055-1",443,0.00187910922587487
"635","ASV106","SCF055-4",0,0
"636","ASV106","SCF055-5",0,0
"637","ASV107","SCF049-1",419,0.000445084157022291
"638","ASV107","SCF049-2",0,0
"639","ASV107","SCF049-3",0,0
"640","ASV107","SCF055-1",0,0
"641","ASV107","SCF055-4",0,0
"642","ASV107","SCF055-5",0,0
"643","ASV108","SCF049-1",0,0
"644","ASV108","SCF049-2",419,0.00133890625099859
"645","ASV108","SCF049-3",0,0
"646","ASV108","SCF055-1",0,0
"647","ASV108","SCF055-4",0,0
"648","ASV108","SCF055-5",0,0
"649","ASV109","SCF049-1",0,0
"650","ASV109","SCF049-2",0,0
"651","ASV109","SCF049-3",0,0
"652","ASV109","SCF055-1",0,0
"653","ASV109","SCF055-4",0,0
"654","ASV109","SCF055-5",415,0.000986289389189793
"655","ASV110","SCF049-1",0,0
"656","ASV110","SCF049-2",0,0
"657","ASV110","SCF049-3",412,0.0008675309689605
"658","ASV110","SCF055-1",0,0
"659","ASV110","SCF055-4",0,0
"660","ASV110","SCF055-5",0,0
"661","ASV111","SCF049-1",0,0
"662","ASV111","SCF049-2",0,0
"663","ASV111","SCF049-3",0,0
"664","ASV111","SCF055-1",409,0.00173488865323436
"665","ASV111","SCF055-4",0,0
"666","ASV111","SCF055-5",0,0
